Kentucky,94.00,101.00,98.00,109.00,109.00,129.00,130.00,135.00,143.00,175.00,193.00,225.00,244.00,263.00,275.00,274.00,288.00,310.00,329.00,369.00,376.00,381.00,368.00,371.00,381.00,393.00,413.00,459.00,462.00,513.00,491.00,479.00,459.00,479.00,489.00,461.00,474.00,489.63,517.77
Louisiana,179.00,184.00,211.00,220.00,251.00,291.00,310.00,315.00,324.00,354.00,379.00,406.00,441.00,470.00,487.00,521.00,553.00,575.00,609.00,662.00,726.00,764.00,788.00,803.00,807.00,806.00,823.00,802.00,858.00,853.00,849.00,886.00,868.00,865.00,870.00,847.00,816.00,777.31,760.27
Maine,52.00,57.00,60.00,71.00,78.00,75.00,73.00,106.00,106.00,105.00,101.00,117.00,120.00,126.00,120.00,116.00,113.00,107.00,108.00,123.00,130.00,131.00,128.00,128.00,140.00,150.00,150.00,145.00,152.00,148.00,150.00,150.00,146.00,147.00,145.00,148.00,153.00,131.81,137.14
Maryland,189.00,186.00,183.00,209.00,258.00,278.00,285.00,279.00,280.00,283.00,291.00,325.00,349.00,366.00,382.00,385.00,395.00,403.00,410.00,409.00,414.00,422.00,423.00,425.00,428.00,423.00,409.00,397.00,398.00,404.00,402.00,384.00,385.00,380.00,360.00,352.00,346.00,339.75,328.79
Massachusetts,48.00,50.00,55.00,66.00,73.00,75.00,81.00,88.00,91.00,101.00,108.00,121.00,133.00,147.00,160.00,153.00,171.00,170.00,176.00,174.00,171.00,163.00,149.00,146.00,139.00,137.00,135.00,141.00,146.00,152.00,155.00,153.00,153.00,205.00,199.00,192.00,188.00,170.71,155.92
Michigan,162.00,162.00,163.00,165.00,164.00,160.00,161.00,196.00,227.00,260.00,300.00,342.00,368.00,387.00,413.00,412.00,423.00,425.00,434.00,456.00,466.00,471.00,479.00,488.00,504.00,490.00,485.00,491.00,512.00,500.00,487.00,456.00,447.00,434.00,441.00,441.00,437.00,429.52,413.75
Minnesota,49.00,52.00,49.00,48.00,50.00,51.00,52.00,56.00,59.00,60.00,65.00,72.00,72.00,78.00,85.00,92.00,99.00,104.00,109.00,111.00,115.00,122.00,126.00,133.00,142.00,156.00,172.00,182.00,177.00,182.00,189.00,190.00,184.00,183.00,184.00,189.00,194.00,196.26,191.23
Mississippi,106.00,137.00,150.00,177.00,210.00,213.00,232.00,240.00,253.00,260.00,281.00,299.00,313.00,334.00,332.00,362.00,394.00,450.00,478.00,492.00,565.00,616.00,675.00,718.00,749.00,682.00,675.00,667.00,663.00,736.00,738.00,704.00,686.00,690.00,717.00,693.00,597.00,609.99,624.19
Missouri,116.00,108.00,116.00,132.00,151.00,164.00,176.00,196.00,205.00,225.00,240.00,273.00,291.00,307.00,310.00,307.00,336.00,356.00,405.00,432.00,453.00,470.00,491.00,509.00,530.00,530.00,539.00,530.00,514.00,505.00,507.00,510.00,511.00,512.00,518.00,521.00,526.00,531.23,531.65
Montana,87.00,90.00,94.00,104.00,114.00,111.00,117.00,137.00,137.00,150.00,159.00,166.00,178.00,183.00,187.00,182.00,205.00,228.00,252.00,286.00,306.00,329.00,344.00,367.00,365.00,395.00,342.00,375.00,377.00,358.00,363.00,370.00,375.00,367.00,358.00,357.00,360.00,355.19,364.24
Nebraska,80.00,76.00,89.00,94.00,100.00,98.00,99.00,109.00,124.00,125.00,131.00,145.00,145.00,151.00,151.00,152.00,163.00,181.00,193.00,197.00,212.00,213.00,223.00,225.00,230.00,229.00,232.00,247.00,239.00,245.00,248.00,244.00,246.00,244.00,247.00,263.00,283.00,279.48,273.50
Nevada,188.00,205.00,227.00,250.00,312.00,353.00,377.00,397.00,464.00,433.00,454.00,449.00,436.00,449.00,448.00,443.00,466.00,488.00,500.00,512.00,521.00,487.00,499.00,489.00,484.00,471.00,484.00,483.00,509.00,516.00,487.00,472.00,464.00,461.00,460.00,459.00,433.00,444.43,459.86
New Hampshire,32.00,35.00,35.00,42.00,47.00,50.00,59.00,69.00,76.00,82.00,94.00,106.00,121.00,138.00,159.00,157.00,177.00,174.00,176.00,182.00,180.00,185.00,182.00,190.00,193.00,190.00,189.00,194.00,209.00,222.00,204.00,206.00,210.00,198.00,211.00,215.00,219.00,217.39,210.83
New Jersey,74.00,75.00,75.00,93.00,108.00,123.00,138.00,150.00,158.00,208.00,220.00,252.00,272.00,301.00,287.00,300.00,307.00,335.00,337.00,345.00,376.00,377.00,353.00,331.00,326.00,317.00,311.00,317.00,317.00,311.00,300.00,291.00,284.00,269.00,261.00,252.00,241.00,229.14,220.87
New Mexico,120.00,114.00,92.00,101.00,106.00,122.00,135.00,147.00,158.00,175.00,183.00,207.00,202.00,194.00,198.00,206.00,210.00,228.00,257.00,251.00,269.00,264.00,256.00,296.00,304.00,317.00,323.00,328.00,327.00,316.00,318.00,314.00,320.00,329.00,315.00,320.00,329.00,336.06,335.04
New York,115.00,118.00,123.00,145.00,159.00,173.00,187.00,194.00,216.00,229.00,248.00,285.00,305.00,319.00,338.00,351.00,362.00,370.00,375.00,370.00,385.00,386.00,370.00,354.00,350.00,339.00,330.00,323.00,325.00,320.00,308.00,299.00,291.00,283.00,276.00,271.00,265.00,261.30,256.14
North Carolina,214.00,232.00,245.00,249.00,255.00,235.00,247.00,256.00,259.00,252.00,251.00,253.00,267.00,269.00,289.00,303.00,321.00,380.00,370.00,360.00,349.00,335.00,335.00,337.00,344.00,349.00,360.00,364.00,363.00,364.00,370.00,372.00,371.00,362.00,357.00,355.00,358.00,351.98,339.14
North Dakota,21.00,21.00,28.00,33.00,41.00,52.00,55.00,55.00,54.00,57.00,63.00,63.00,68.00,69.00,67.00,70.00,78.00,84.00,100.00,110.00,129.00,134.00,155.00,161.00,162.00,181.00,195.00,209.00,214.00,222.00,226.00,230.00,220.00,206.00,213.00,206.00,214.00,235.39,234.36
Ohio,121.00,124.00,125.00,139.00,161.00,168.00,173.00,194.00,209.00,225.00,245.00,282.00,293.00,327.00,348.00,366.00,376.00,399.00,411.00,426.00,428.00,413.00,403.00,397.00,400.00,391.00,391.00,400.00,428.00,440.00,448.00,447.00,448.00,441.00,440.00,446.00,444.00,449.84,448.72
Oklahoma,144.00,143.00,158.00,171.00,203.00,227.00,240.00,255.00,298.00,300.00,330.00,368.00,390.00,420.00,460.00,505.00,507.00,549.00,587.00,609.00,614.00,652.00,671.00,657.00,651.00,642.00,652.00,691.00,668.00,670.00,664.00,662.00,652.00,632.00,648.00,703.00,700.00,717.93,673.16
Oregon,114.00,123.00,120.00,123.00,146.00,149.00,158.00,164.00,178.00,202.00,219.00,221.00,227.00,190.00,175.00,167.00,190.00,205.00,225.00,230.00,268.00,290.00,308.00,328.00,343.00,358.00,368.00,370.00,372.00,373.00,374.00,375.00,386.00,372.00,378.00,384.00,376.00,375.15,367.28
Pennsylvania,65.00,65.00,68.00,78.00,88.00,99.00,110.00,120.00,129.00,138.00,151.00,172.00,187.00,195.00,207.00,215.00,233.00,266.00,283.00,286.00,297.00,298.00,300.00,309.00,326.00,331.00,330.00,341.00,353.00,363.00,390.00,407.00,402.00,403.00,398.00,400.00,394.00,387.63,382.99
Rhode Island,55.00,58.00,63.00,72.00,82.00,92.00,93.00,99.00,103.00,100.00,118.00,147.00,158.00,173.00,169.00,169.00,183.00,180.00,199.00,205.00,211.00,183.00,187.00,182.00,192.00,185.00,177.00,190.00,203.00,235.00,239.00,211.00,198.00,197.00,190.00,193.00,178.00,204.14,191.95
South Carolina,234.00,230.00,237.00,252.00,269.00,281.00,285.00,300.00,330.00,351.00,378.00,428.00,463.00,482.00,486.00,489.00,490.00,507.00,520.00,525.00,534.00,534.00,522.00,532.00,556.00,553.00,541.00,528.00,527.00,527.00,521.00,515.00,492.00,473.00,458.00,446.00,428.00,413.73,408.17
South Dakota,73.00,78.00,88.00,96.00,109.00,117.00,130.00,148.00,151.00,163.00,146.00,180.00,192.00,195.00,209.00,215.00,234.00,254.00,278.00,301.00,324.00,333.00,346.00,366.00,382.00,393.00,399.00,443.00,425.00,415.00,414.00,422.00,420.00,426.00,434.00,432.00,421.00,412.85,439.51
Tennessee,131.00,146.00,153.00,171.00,169.00,176.00,156.00,151.00,160.00,160.00,160.00,219.00,212.00,231.00,235.00,250.00,275.00,285.00,288.00,303.00,385.00,399.00,389.00,411.00,431.00,434.00,437.00,440.00,423.00,426.00,436.00,428.00,432.00,443.00,438.00,437.00,437.00,425.30,422.09
Texas,182.00,191.00,208.00,214.00,236.00,224.00,229.00,231.00,233.00,234.00,243.00,262.00,293.00,297.00,340.00,507.00,637.00,674.00,684.00,711.00,717.00,753.00,754.00,717.00,699.00,710.00,703.00,698.00,694.00,678.00,671.00,654.00,652.00,633.00,601.00,600.00,582.00,568.70,562.53
Utah,67.00,68.00,63.00,74.00,77.00,79.00,92.00,99.00,105.00,109.00,115.00,139.00,143.00,146.00,146.00,151.00,154.00,171.00,192.00,202.00,221.00,234.00,247.00,229.00,235.00,239.00,243.00,251.00,245.00,241.00,236.00,234.00,245.00,243.00,242.00,242.00,237.00,214.75,200.71
Vermont,70.00,62.00,67.00,77.00,84.00,72.00,72.00,84.00,82.00,93.00,101.00,112.00,121.00,129.00,151.00,155.00,168.00,178.00,135.00,139.00,160.00,195.00,215.00,214.00,215.00,227.00,235.00,249.00,264.00,261.00,261.00,277.00,263.00,255.00,242.00,251.00,241.00,206.26,196.89
Virginia,149.00,154.00,160.00,166.00,177.00,177.00,189.00,205.00,216.00,218.00,231.00,266.00,280.00,312.00,327.00,348.00,406.00,409.00,401.00,403.00,415.00,416.00,417.00,440.00,480.00,476.00,476.00,467.00,480.00,492.00,490.00,483.00,466.00,468.00,451.00,446.00,449.00,457.68,448.32
Washington,115.00,108.00,106.00,126.00,146.00,155.00,157.00,157.00,148.00,135.00,125.00,146.00,163.00,182.00,193.00,197.00,202.00,212.00,225.00,233.00,245.00,249.00,248.00,251.00,263.00,262.00,267.00,277.00,274.00,275.00,273.00,273.00,270.00,260.00,249.00,256.00,254.00,251.97,258.90
West Virginia,64.00,65.00,64.00,80.00,79.00,83.00,82.00,90.00,78.00,78.00,80.00,85.00,87.00,84.00,93.00,99.00,128.00,136.00,149.00,173.00,192.00,195.00,210.00,232.00,250.00,262.00,279.00,293.00,316.00,334.00,332.00,347.00,358.00,367.00,378.00,368.00,373.00,387.62,391.72
Wisconsin,74.00,79.00,84.00,93.00,100.00,103.00,105.00,114.00,120.00,128.00,131.00,140.00,152.00,157.00,159.00,166.00,185.00,199.00,236.00,298.00,339.00,376.00,378.00,389.00,397.00,403.00,403.00,396.00,406.00,398.00,399.00,395.00,386.00,385.00,357.00,370.00,371.00,376.91,382.72
Wyoming,100.00,112.00,113.00,113.00,139.00,141.00,143.00,152.00,174.00,192.00,203.00,224.00,245.00,239.00,228.00,238.00,253.00,288.00,303.00,316.00,320.00,348.00,340.00,342.00,349.00,375.00,394.00,404.00,412.00,398.00,391.00,381.00,374.00,382.00,379.00,396.00,407.00,413.59,405.94
